fpl_game_week,season,count,team,fpl_gw,date,team_goals,opponent_goals,scored,conceded
23,2017-2018,1,Brighton,23,2018-01-13,0.0,2.0,0.9086250414488568,1.5154921338167575
23,2018-2019,1,Brighton,23,2019-01-19,1.0,2.0,0.5973389305425377,2.183124414136136
24,2017-2018,1,Brighton,24,2018-01-20,0.0,4.0,0.6869822817581814,2.0708859252509404
24,2018-2019,1,Brighton,24,2019-01-29,2.0,4.0,1.266281320060632,1.2748571676074605
25,2017-2018,1,Brighton,25,2018-01-31,1.0,1.0,1.0773021643227911,1.4393425154084694
25,2018-2019,1,Brighton,25,2019-02-02,0.0,0.0,1.4312854905288974,1.338799578583868
26,2017-2018,1,Brighton,26,2018-02-03,3.0,1.0,1.1488971364143719,1.0841266151526283
26,2018-2019,1,Brighton,26,2019-02-09,1.0,3.0,1.4218224651595806,1.3618746489194737
27,2017-2018,1,Brighton,27,2018-02-10,1.0,1.0,1.0062732573195712,1.3470566257270242
28,2017-2018,1,Brighton,28,2018-02-24,4.0,1.0,1.3850966890488137,1.02203974224148
28,2018-2019,1,Brighton,28,2019-02-26,1.0,2.0,0.9744435235541965,1.9647231158267742
29,2017-2018,1,Brighton,29,2018-03-04,2.0,1.0,1.3514674208071134,1.5926050246852705
29,2018-2019,1,Brighton,29,2019-03-02,1.0,0.0,1.7246436523590276,0.9500421818959606
30,2017-2018,1,Brighton,30,2018-03-10,0.0,2.0,1.2992020030532685,1.4435807606708593
30,2018-2019,1,Brighton,30,2019-03-09,2.0,1.0,1.001148642382092,1.8323713498775827
32,2017-2018,1,Brighton,32,2018-03-31,0.0,2.0,1.197483679196639,1.295273476245362
32,2018-2019,2,Brighton,32,2019-03-30,0.0,4.0,1.9363320406208837,3.090000622612411
33,2017-2018,1,Brighton,33,2018-04-07,1.0,1.0,1.6759156300424072,0.6498474600532803
34,2017-2018,2,Brighton,34,2018-04-14,3.0,4.0,2.1561414574595066,3.522111221945692
34,2018-2019,2,Brighton,34,2019-04-13,0.0,7.0,2.7468134130672093,2.101347811906392
35,2018-2019,2,Brighton,35,2019-04-20,0.0,1.0,1.0698948227143457,4.252472182464976
36,2017-2018,1,Brighton,36,2018-04-28,0.0,0.0,0.8418922510488732,1.670484701000215
36,2018-2019,1,Brighton,36,2019-04-27,1.0,1.0,0.9320439859050583,1.450900366845529
37,2017-2018,2,Brighton,37,2018-05-04,2.0,3.0,1.1282336949208231,4.528254762293514
37,2018-2019,1,Brighton,37,2019-05-05,1.0,1.0,0.683242167782409,2.112888450966994
38,2017-2018,1,Brighton,38,2018-05-13,0.0,4.0,0.3557990259564281,2.2531237151224666
38,2018-2019,1,Brighton,38,2019-05-12,1.0,4.0,0.4067379262666381,2.334231060162803
1,2018-2019,1,Burnley,1,2018-08-12,0.0,0.0,0.9655126694627578,1.4129517672111858
2,2018-2019,1,Burnley,2,2018-08-19,1.0,3.0,1.4381749514046265,1.0162857362640496
3,2018-2019,1,Burnley,3,2018-08-26,2.0,4.0,1.0838195097063328,1.3799673570231885
4,2018-2019,1,Burnley,4,2018-09-02,0.0,2.0,1.1377119548270263,1.7867871187154694
5,2018-2019,1,Burnley,5,2018-09-16,0.0,1.0,1.0492007651930912,1.4313154555474363
6,2017-2018,1,Burnley,6,2017-09-23,0.0,0.0,1.5341396274696255,0.8825623999816485
6,2018-2019,1,Burnley,6,2018-09-22,4.0,0.0,1.367354605754163,1.6024654099784985
7,2017-2018,1,Burnley,7,2017-10-01,1.0,0.0,0.9583557539183243,1.7823601166700778
7,2018-2019,1,Burnley,7,2018-09-30,2.0,1.0,1.40995332356795,1.328808615401205
8,2017-2018,1,Burnley,8,2017-10-14,1.0,1.0,1.2353389230418663,1.1754448602802143
8,2018-2019,1,Burnley,8,2018-10-06,1.0,1.0,1.6138242747356626,0.8729552674632247
9,2017-2018,1,Burnley,9,2017-10-21,0.0,3.0,0.34594811968718475,2.6948061743846505
9,2018-2019,1,Burnley,9,2018-10-20,0.0,5.0,0.2259758858593346,2.865945143586236
10,2017-2018,1,Burnley,10,2017-10-30,1.0,0.0,1.2626672246445598,1.1916512269363968
10,2018-2019,1,Burnley,10,2018-10-28,0.0,4.0,1.019274208191218,2.1850578908774927
11,2017-2018,1,Burnley,11,2017-11-04,1.0,0.0,1.0076383504272661,1.5398595872838001
11,2018-2019,1,Burnley,11,2018-11-03,2.0,4.0,0.938613696863769,1.8405947238262819
12,2017-2018,1,Burnley,12,2017-11-18,2.0,0.0,1.4520951696599766,0.9724237231027298
12,2018-2019,1,Burnley,12,2018-11-10,0.0,0.0,0.8743395462557203,2.054927699920311
13,2017-2018,1,Burnley,13,2017-11-26,0.0,1.0,1.1857706681919626,1.6958425985290615
13,2018-2019,1,Burnley,13,2018-11-26,1.0,2.0,1.375471477488902,1.5521837410181334
14,2017-2018,1,Burnley,14,2017-11-29,2.0,1.0,1.0058241442750402,1.3978415504332344
14,2018-2019,1,Burnley,14,2018-12-01,0.0,2.0,0.9731565858168274,1.9694560246957575
15,2017-2018,1,Burnley,15,2017-12-02,0.0,1.0,1.0611363401693492,1.4142953810326628
15,2018-2019,1,Burnley,15,2018-12-05,1.0,3.0,0.7626809616874634,2.343007858876601
16,2017-2018,1,Burnley,16,2017-12-09,1.0,0.0,1.4873365379679093,1.1001646303432095
16,2018-2019,1,Burnley,16,2018-12-08,1.0,0.0,1.4210629853234045,1.3452797833829842
17,2017-2018,1,Burnley,17,2017-12-12,1.0,0.0,1.6940688025098718,0.9618902147109918
17,2018-2019,1,Burnley,17,2018-12-15,0.0,1.0,0.6358304208542959,2.4626592794081548
18,2017-2018,1,Burnley,18,2017-12-16,0.0,0.0,1.240914738917264,1.1757655009715013
18,2018-2019,1,Burnley,18,2018-12-22,1.0,3.0,0.5672512568756879,2.3205519358765287
19,2017-2018,1,Burnley,19,2017-12-23,0.0,3.0,1.0690726924484584,1.8288234597672606
19,2018-2019,1,Burnley,19,2018-12-26,1.0,5.0,1.5074526684452667,1.4588734022368277
20,2017-2018,1,Burnley,20,2017-12-26,2.0,2.0,0.9493906444444079,2.2895389417180576
20,2018-2019,1,Burnley,20,2018-12-30,2.0,0.0,1.3602519321509001,1.471901535145027
21,2017-2018,1,Burnley,21,2017-12-30,0.0,0.0,1.117591989385263,1.492438530111383
21,2018-2019,1,Burnley,21,2019-01-02,2.0,1.0,1.3755071636276603,1.0667200002527029
22,2017-2018,1,Burnley,22,2018-01-01,1.0,2.0,0.8940823846188305,2.0849984927764322
22,2018-2019,1,Burnley,22,2019-01-12,2.0,1.0,1.7088695142751633,0.9397923804473419
23,2017-2018,1,Burnley,23,2018-01-13,0.0,1.0,1.0020013302052604,1.6125702523061738
23,2018-2019,1,Burnley,23,2019-01-19,0.0,0.0,1.2842102396595645,1.5386410185669
24,2017-2018,1,Burnley,24,2018-01-20,0.0,1.0,0.9660597143480677,1.997496212251555
24,2018-2019,1,Burnley,24,2019-01-29,2.0,2.0,0.7853060203754787,2.1991491887782395
25,2017-2018,1,Burnley,25,2018-01-31,1.0,1.0,1.2050648244572928,1.2388607850184203
25,2018-2019,1,Burnley,25,2019-02-02,1.0,1.0,1.59138986367759,1.0304306701870953
26,2017-2018,1,Burnley,26,2018-02-03,1.0,1.0,0.861780790483773,2.027483530133892
26,2018-2019,1,Burnley,26,2019-02-09,3.0,1.0,1.3618746489194737,1.4218224651595806
27,2017-2018,1,Burnley,27,2018-02-10,0.0,1.0,1.2538703570384033,1.423218304112078
27,2018-2019,1,Burnley,27,2019-02-23,2.0,1.0,1.1133481164552173,1.968335300630209
28,2017-2018,1,Burnley,28,2018-02-24,1.0,1.0,1.457235048927506,1.063953612054252
28,2018-2019,1,Burnley,28,2019-02-26,0.0,2.0,1.2164839090145347,1.5238996710940862
29,2017-2018,1,Burnley,29,2018-03-03,2.0,1.0,1.515713997082869,1.1299043451521746
29,2018-2019,1,Burnley,29,2019-03-02,1.0,3.0,1.4583440149247855,1.363032430704251
30,2017-2018,1,Burnley,30,2018-03-10,3.0,0.0,1.3452027285511623,1.3325157250870832
30,2018-2019,1,Burnley,30,2019-03-10,2.0,4.0,0.4753841060863482,2.144216050800911
31,2018-2019,1,Burnley,31,2019-03-16,1.0,2.0,1.3549937314916947,1.4371243153168312
32,2017-2018,1,Burnley,32,2018-03-31,2.0,1.0,1.3428819198165378,1.071377611858423
32,2018-2019,1,Burnley,32,2019-03-30,2.0,0.0,1.3587052319047066,1.3546823697377972
33,2017-2018,1,Burnley,33,2018-04-07,2.0,1.0,1.3790853959619593,1.085454113318171
33,2018-2019,1,Burnley,33,2019-04-06,3.0,1.0,1.0237707569850154,1.504710377790527
34,2017-2018,2,Burnley,34,2018-04-14,3.0,3.0,2.5965399676760286,2.668621237895473
